### Module positions - created on 09/16/18 16:03:38 ###
### Printed by Pcbnew version kicad (5.0.0)
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val              Package                            PosX       PosY       Rot  Side
R37       10k              R_0402                          28.6000    26.7500  270.0000  top
U1        AU1846           QFN32-5x5                       39.6500    11.7500  180.0000  top
U2        NC7SZ86          SOT-353_SC-70-5                 11.6500     4.5500    0.0000  top
U3        AD8591           SOT23-6                         52.3750     8.5500   90.0000  top
U4        ADL5530          LFCSP-8-1EP_2x3mm_Pitch0.5mm    30.5000    13.2500  180.0000  top
U6        AP2125N-3.3TRG1  SOT-23                          19.8000    27.4000   90.0000  top
U10       PE42440          QFN-16-1EP_3x3mm_Pitch0.5mm     10.1250    17.2500  180.0000  top
U11       PE42440          QFN-16-1EP_3x3mm_Pitch0.5mm     24.5000    14.2500    0.0000  top
U12       NC7WZ14          SC-70-6                         15.4800     4.5400   90.0000  top
Y1        12.8MHz          CRYSTAL-SMD-5X3                 47.6000    14.9750  135.0000  top
## End
